iter	Passed	Remaining
415	3017	4235
416	3024	4228
417	3031	4221
418	3038	4213
419	3046	4206
420	3053	4199
421	3060	4192
422	3067	4184
423	3075	4177
424	3082	4170
425	3089	4163
426	3096	4155
427	3104	4148
428	3111	4141
429	3118	4134
430	3125	4126
431	3132	4119
432	3140	4112
433	3147	4105
434	3155	4098
435	3162	4091
436	3170	4084
437	3178	4077
438	3185	4070
439	3192	4063
440	3200	4056
441	3207	4048
442	3214	4041
443	3222	4034
444	3229	4027
445	3237	4020
446	3244	4013
447	3251	4005
448	3258	3998
449	3265	3990
450	3271	3982
451	3278	3975
452	3286	3968
453	3294	3961
454	3301	3954
455	3308	3947
456	3315	3939
457	3322	3932
458	3330	3925
459	3337	3917
460	3344	3910
461	3351	3903
462	3359	3896
463	3366	3888
464	3373	3881
465	3380	3873
466	3387	3866
467	3394	3859
468	3402	3852
469	3409	3844
470	3417	3838
471	3424	3830
472	3431	3823
473	3438	3815
474	3445	3808
475	3452	3800
476	3460	3793
477	3467	3786
478	3474	3779
479	3481	3772
480	3489	3765
481	3497	3758
482	3504	3751
483	3511	3744
484	3519	3737
485	3527	3730
486	3534	3723
487	3542	3716
488	3549	3709
489	3557	3702
490	3564	3694
491	3571	3687
492	3579	3680
493	3586	3673
494	3593	3666
495	3601	3659
496	3607	3651
497	3615	3644
498	3622	3637
499	3630	3630
500	3637	3623
501	3645	3616
502	3652	3608
503	3659	3601
504	3666	3594
505	3674	3587
506	3681	3579
507	3688	3572
508	3695	3564
509	3702	3557
510	3709	3550
511	3717	3542
512	3723	3535
513	3731	3527
514	3738	3521
515	3745	3513
516	3752	3506
517	3760	3498
518	3767	3491
519	3774	3484
520	3782	3477
521	3790	3470
522	3797	3463
523	3804	3455
524	3811	3448
525	3819	3441
526	3826	3434
527	3833	3426
528	3841	3419
529	3848	3412
530	3855	3405
531	3862	3397
532	3869	3390
533	3877	3383
534	3885	3376
535	3892	3369
536	3900	3362
537	3907	3355
538	3914	3348
539	3921	3340
540	3928	3333
541	3935	3325
542	3943	3318
543	3950	3311
544	3957	3304
545	3965	3297
546	3972	3290
547	3980	3283
548	3987	3275
549	3994	3268
550	4001	3260
551	4009	3253
552	4016	3246
553	4023	3239
554	4030	3231
555	4037	3224
556	4044	3216
557	4052	3210
558	4059	3202
559	4067	3195
560	4074	3188
561	4081	3181
562	4088	3173
563	4095	3166
564	4102	3158
565	4110	3151
566	4117	3144
567	4125	3137
568	4132	3130
569	4139	3123
570	4146	3115
571	4154	3108
572	4161	3101
573	4168	3093
574	4176	3087
575	4184	3080
576	4192	3073
577	4199	3066
578	4207	3059
579	4214	3051
580	4221	3044
581	4228	3037
582	4236	3029
583	4243	3022
584	4250	3015
585	4257	3008
586	4264	3000
587	4271	2993
588	4278	2985
589	4286	2978
590	4293	2971
591	4300	2963
592	4307	2956
593	4314	2949
594	4321	2941
595	4328	2934
596	4336	2927
597	4343	2920
598	4350	2912
599	4358	2905
600	4365	2898
601	4372	2891
602	4379	2883
603	4387	2876
604	4394	2869
605	4401	2861
606	4408	2854
607	4416	2847
608	4423	2840
609	4431	2833
610	4438	2826
611	4446	2818
612	4453	2811
613	4461	2804
614	4469	2797
615	4476	2790
616	4484	2783
617	4491	2776
618	4498	2768
619	4505	2761
620	4513	2754
621	4520	2747
622	4527	2739
623	4535	2733
624	4543	2725
625	4551	2719
626	4558	2711
627	4565	2704
628	4572	2697
629	4579	2689
630	4587	2682
631	4594	2675
632	4601	2667
633	4608	2660
634	4616	2653
635	4623	2646
636	4630	2638
637	4637	2631
638	4645	2624
639	4652	2617
640	4660	2610
641	4667	2602
642	4674	2595
643	4681	2588
644	4689	2580
645	4696	2573
646	4704	2566
647	4711	2559
648	4719	2552
649	4726	2545
650	4733	2537
651	4740	2530
652	4747	2523
653	4755	2515
654	4763	2508
655	4769	2501
656	4777	2494
657	4784	2486
658	4792	2479
659	4799	2472
660	4807	2465
661	4813	2457
662	4821	2450
663	4828	2443
664	4835	2435
665	4842	2428
666	4849	2421
667	4856	2413
668	4863	2406
669	4870	2398
670	4878	2391
671	4885	2384
672	4893	2377
673	4901	2370
674	4908	2363
675	4915	2355
676	4922	2348
677	4930	2341
678	4937	2334
679	4945	2327
680	4952	2319
681	4959	2312
682	4966	2305
683	4973	2297
684	4981	2290
685	4988	2283
686	4995	2276
687	5003	2268
688	5010	2261
689	5018	2254
690	5025	2247
691	5032	2240
692	5040	2232
693	5047	2225
694	5054	2218
695	5061	2210
696	5068	2203
697	5076	2196
698	5083	2189
699	5091	2181
700	5098	2174
701	5106	2167
702	5113	2160
703	5121	2153
704	5127	2145
705	5134	2138
706	5142	2131
707	5150	2124
708	5157	2117
709	5165	2109
710	5172	2102
711	5179	2095
712	5186	2087
713	5193	2080
714	5200	2073
715	5207	2065
716	5215	2058
717	5222	2051
718	5229	2043
719	5236	2036
720	5243	2028
721	5250	2021
722	5258	2014
723	5265	2007
724	5273	2000
725	5280	1993
726	5288	1985
727	5295	1978
728	5302	1971
729	5310	1964
730	5316	1956
731	5324	1949
732	5331	1941
733	5338	1934
734	5345	1927
735	5353	1920
736	5360	1912
737	5368	1905
738	5375	1898
739	5382	1891
740	5389	1883
741	5397	1876
742	5404	1869
743	5411	1862
744	5419	1854
745	5426	1847
746	5433	1840
747	5440	1832
748	5448	1825
749	5455	1818
750	5463	1811
751	5471	1804
752	5478	1797
753	5486	1790
754	5493	1782
755	5500	1775
756	5507	1767
757	5514	1760
758	5521	1753
759	5528	1745
760	5536	1738
761	5544	1731
762	5551	1724
763	5558	1717
764	5565	1709
765	5573	1702
766	5580	1695
767	5588	1688
768	5595	1680
769	5602	1673
770	5610	1666
771	5617	1659
772	5625	1651
773	5632	1644
774	5640	1637
775	5646	1629
776	5653	1622
777	5661	1615
778	5668	1608
779	5675	1600
780	5682	1593
781	5690	1586
782	5696	1578
783	5703	1571
784	5711	1564
785	5718	1556
786	5725	1549
787	5733	1542
788	5740	1535
789	5748	1528
790	5755	1520
791	5762	1513
792	5770	1506
793	5776	1498
794	5784	1491
795	5791	1484
796	5799	1477
797	5806	1469
798	5813	1462
799	5820	1455
800	5827	1447
801	5835	1440
802	5842	1433
803	5850	1426
804	5857	1418
805	5864	1411
806	5872	1404
807	5879	1397
808	5886	1389
809	5893	1382
810	5900	1375
811	5907	1367
812	5914	1360
813	5922	1353
814	5929	1345
815	5936	1338
816	5943	1331
817	5950	1324
818	5957	1316
819	5965	1309
820	5972	1302
821	5979	1294
822	5986	1287
823	5993	1280
824	6000	1272
825	6007	1265
826	6014	1258
827	6022	1251
828	6029	1243
829	6037	1236
830	6043	1229
831	6051	1221
832	6059	1214
833	6066	1207
834	6073	1200
835	6080	1192
836	6088	1185
837	6095	1178
838	6102	1171
839	6109	1163
840	6116	1156
841	6123	1149
842	6131	1141
843	6138	1134
844	6146	1127
845	6154	1120
846	6161	1112
847	6168	1105
848	6175	1098
849	6183	1091
850	6190	1083
851	6197	1076
852	6205	1069
853	6212	1062
854	6219	1054
855	6226	1047
856	6233	1040
857	6241	1032
858	6249	1025
859	6256	1018
860	6263	1011
861	6270	1003
862	6278	996
863	6285	989
864	6292	982
865	6299	974
866	6306	967
867	6313	960
868	6320	952
869	6328	945
870	6336	938
871	6343	931
872	6350	923
873	6358	916
874	6365	909
875	6372	902
876	6380	894
877	6387	887
878	6394	880
879	6401	872
880	6408	865
881	6415	858
882	6423	851
883	6430	843
884	6437	836
885	6444	829
886	6451	821
887	6459	814
888	6466	807
889	6474	800
890	6481	792
891	6488	785
892	6495	778
893	6503	771
894	6509	763
895	6516	756
896	6524	749
897	6531	741
898	6538	734
899	6545	727
900	6552	720
901	6559	712
902	6567	705
903	6575	698
904	6582	690
905	6589	683
906	6597	676
907	6604	669
908	6612	661
909	6619	654
910	6626	647
911	6633	640
912	6641	632
913	6648	625
914	6655	618
915	6662	611
916	6670	603
