iter	Passed	Remaining
416	2835	3964
417	2841	3956
418	2848	3949
419	2855	3942
420	2861	3935
421	2868	3928
422	2875	3922
423	2882	3915
424	2888	3908
425	2896	3902
426	2902	3895
427	2909	3888
428	2916	3882
429	2923	3875
430	2930	3868
431	2937	3862
432	2944	3855
433	2951	3848
434	2958	3842
435	2964	3834
436	2971	3828
437	2978	3822
438	2986	3816
439	2992	3808
440	2999	3802
441	3006	3795
442	3013	3789
443	3020	3782
444	3027	3775
445	3034	3768
446	3041	3762
447	3047	3755
448	3054	3748
449	3061	3741
450	3067	3733
451	3073	3726
452	3080	3719
453	3086	3712
454	3093	3705
455	3101	3699
456	3107	3692
457	3115	3686
458	3122	3680
459	3129	3673
460	3135	3666
461	3142	3659
462	3149	3652
463	3156	3646
464	3163	3639
465	3169	3631
466	3176	3625
467	3182	3617
468	3189	3611
469	3195	3603
470	3202	3596
471	3209	3589
472	3215	3582
473	3222	3576
474	3229	3569
475	3236	3562
476	3243	3556
477	3250	3549
478	3256	3541
479	3262	3534
480	3269	3527
481	3275	3520
482	3282	3513
483	3289	3506
484	3295	3499
485	3302	3492
486	3309	3485
487	3316	3479
488	3322	3472
489	3329	3465
490	3336	3458
491	3343	3452
492	3350	3445
493	3356	3438
494	3363	3431
495	3370	3424
496	3377	3417
497	3384	3411
498	3391	3405
499	3398	3398
500	3405	3391
501	3411	3384
502	3418	3377
503	3425	3370
504	3431	3363
505	3438	3356
506	3445	3350
507	3452	3343
508	3460	3337
509	3466	3330
510	3473	3324
511	3480	3317
512	3487	3310
513	3493	3303
514	3500	3296
515	3507	3289
516	3513	3282
517	3521	3276
518	3528	3269
519	3535	3263
520	3541	3256
521	3549	3249
522	3556	3243
523	3562	3236
524	3569	3229
525	3576	3222
526	3583	3216
527	3589	3209
528	3597	3202
529	3603	3195
530	3610	3188
531	3617	3182
532	3624	3175
533	3630	3168
534	3637	3161
535	3643	3154
536	3651	3147
537	3657	3140
538	3664	3134
539	3671	3127
540	3678	3120
541	3685	3114
542	3692	3107
543	3698	3100
544	3705	3093
545	3712	3086
546	3717	3079
547	3724	3072
548	3731	3065
549	3738	3058
550	3744	3051
551	3750	3044
552	3757	3037
553	3765	3031
554	3771	3024
555	3778	3017
556	3785	3011
557	3793	3004
558	3800	2997
559	3806	2991
560	3813	2984
561	3820	2977
562	3827	2971
563	3833	2963
564	3840	2956
565	3847	2950
566	3854	2943
567	3860	2936
568	3867	2929
569	3874	2922
570	3881	2916
571	3888	2909
572	3895	2902
