iter	Logloss
0	0.6550012287
1	0.6223158635
2	0.5947467981
3	0.5716807161
4	0.5516962328
5	0.5348681551
6	0.5205080673
7	0.5081351468
8	0.4974392731
9	0.4886074739
10	0.4809990407
11	0.4744657289
12	0.4682501205
13	0.4635498
14	0.4595181446
15	0.4559499311
16	0.4529032135
17	0.4499644913
18	0.4474906239
19	0.4452192166
20	0.4435037654
21	0.4419794775
22	0.44082733
23	0.4396793765
24	0.4383446895
25	0.4372679686
26	0.4363561777
27	0.4356202832
28	0.4350162821
29	0.4343807089
30	0.4339031459
31	0.433475975
32	0.4330345571
33	0.432695105
34	0.4323167335
35	0.4319610621
36	0.4316747015
37	0.4314657015
38	0.4312362852
39	0.4310458574
40	0.4308574464
41	0.4306948154
42	0.4304958517
43	0.4302548979
44	0.4301300561
45	0.4299864239
46	0.4298746812
47	0.429682176
48	0.4295710826
49	0.4294755116
50	0.4293710477
51	0.4292260122
52	0.4291414059
53	0.4290299735
54	0.4288786935
55	0.4287950464
56	0.4287143889
57	0.4285967255
58	0.4284941915
59	0.428406422
60	0.4283315913
61	0.4282784641
62	0.4282138867
63	0.4281187491
64	0.4280312885
65	0.4279443654
66	0.4278845378
67	0.4278387915
68	0.4278097526
69	0.4277614486
70	0.4277253159
71	0.4276520027
72	0.4275936194
73	0.4275163377
74	0.4274742975
75	0.4274130148
76	0.4273406948
77	0.4273040692
78	0.4272523064
79	0.4272279728
80	0.4271644735
81	0.4271390295
82	0.4270789038
83	0.4270266409
84	0.4269569864
85	0.4269052662
86	0.4268555781
87	0.4267766514
88	0.4266987596
89	0.4266645274
90	0.4266080696
91	0.4265639852
92	0.426524673
93	0.426466802
94	0.4263884381
95	0.4263014876
96	0.4262534038
97	0.426215037
98	0.4261567507
99	0.4261272262
100	0.426104582
101	0.426060101
102	0.4260043751
103	0.4259565684
104	0.4259296582
105	0.4258678136
106	0.4258442107
107	0.4257955379
108	0.4257395867
109	0.4256797886
110	0.4256644466
111	0.4256199794
112	0.4255361277
113	0.4254946109
114	0.4254304558
115	0.4253951633
116	0.4253700411
117	0.4253445064
118	0.425308303
119	0.4252763091
120	0.4252170275
121	0.4252058018
122	0.4251550098
123	0.4251287383
124	0.4250806429
125	0.4250639237
126	0.4250193687
127	0.4249679863
128	0.4249291311
129	0.424910881
130	0.4248683608
131	0.4248428998
132	0.4247987397
133	0.4247671382
134	0.4247245164
135	0.4246923567
136	0.4246744822
137	0.4246386842
138	0.4246059514
139	0.424548197
140	0.4245064718
141	0.4244485116
142	0.4244221797
143	0.4243935552
144	0.4243598849
145	0.4242835849
146	0.4242250539
147	0.4242048626
148	0.424173153
149	0.4241307793
150	0.4241052357
151	0.4240539318
152	0.4240363097
153	0.4240039443
154	0.4239746386
155	0.4238989281
156	0.4238559366
157	0.4238142825
158	0.4237774084
159	0.4237449925
160	0.4237036578
161	0.4236694903
162	0.4236081829
163	0.4235798702
164	0.4235070744
165	0.4234428774
166	0.4233932541
167	0.423332364
168	0.4232565176
169	0.4232273164
170	0.4231681755
171	0.4231437765
172	0.423096558
173	0.4230382132
174	0.4230185855
175	0.4229568764
176	0.4228984651
177	0.4228495109
178	0.42277358
179	0.4227070342
180	0.42263039
181	0.4225842506
182	0.4224882286
183	0.4224619032
184	0.4223904655
185	0.4223481356
186	0.4223052222
187	0.4222637787
188	0.4222243309
189	0.4221829123
190	0.4221440882
191	0.4220836432
192	0.4220347539
193	0.4220008031
194	0.4219324304
195	0.4218843156
196	0.4217915604
197	0.4217191756
198	0.421644511
199	0.421581215
200	0.4215139327
201	0.4214738852
202	0.4214241878
203	0.4213668046
204	0.4212805014
205	0.4212185742
206	0.4211516414
207	0.4210673082
208	0.421034169
209	0.4209463585
210	0.4209246681
211	0.4208684634
212	0.4207994294
213	0.4207252017
214	0.4206800874
215	0.42063459
216	0.4205971206
217	0.4205507776
218	0.4204732013
219	0.4204259352
220	0.4203698855
221	0.4203320473
222	0.4202633982
223	0.4202077118
224	0.4201642352
225	0.4201087959
226	0.4200620017
227	0.4200163924
228	0.4199545961
229	0.4199289658
230	0.4198700379
231	0.4198322522
232	0.4197664868
233	0.4197320052
234	0.4196874073
235	0.4196121578
236	0.419541745
237	0.4195311417
238	0.4194427556
239	0.4194015531
240	0.4193336073
241	0.4193136267
242	0.4192455267
243	0.4191822699
244	0.4191001887
245	0.4190536936
246	0.4190445065
247	0.4190113123
248	0.4189736859
249	0.4189126164
250	0.4188457378
251	0.4188030709
252	0.4187743982
253	0.4187339259
254	0.4186810111
255	0.4186358393
256	0.4185811538
257	0.4185083251
258	0.41846995
259	0.4184018247
260	0.4183684866
261	0.418328488
262	0.4182865882
263	0.4182369984
264	0.418159921
265	0.4181032637
266	0.4180644383
267	0.418000992
268	0.4179909636
269	0.4179622828
270	0.4179144282
271	0.4178579962
272	0.4178114208
273	0.4177646686
274	0.4176968169
275	0.41765999
276	0.4176119374
277	0.4175750426
278	0.4175265939
279	0.4174897323
280	0.417450503
281	0.4173767092
282	0.4173326758
283	0.4172856377
284	0.4172116938
285	0.4171430761
286	0.4170846322
287	0.4170594208
288	0.4170086469
289	0.4169564846
290	0.4169198796
291	0.4168565828
292	0.4168051005
293	0.4167602186
294	0.4167001493
295	0.4166213442
296	0.4165938034
297	0.4165323281
298	0.4164276464
299	0.4163603201
300	0.4163335675
301	0.4163059204
302	0.4162970389
303	0.4162568532
304	0.4162094151
305	0.4161781264
306	0.4161456455
307	0.4160923885
308	0.4160599639
309	0.4159879567
310	0.4159327575
311	0.4158862859
312	0.4158626156
313	0.4158331706
314	0.4158016359
315	0.415737431
316	0.4156838896
317	0.4156279367
318	0.4155819944
319	0.4155100884
320	0.4154887134
321	0.4154192162
322	0.4153927569
323	0.4153225461
324	0.4152885263
325	0.4152161917
326	0.4151367491
327	0.4150762237
328	0.4150203578
329	0.4149822253
330	0.4149221785
331	0.4149131532
332	0.4148623183
333	0.414821701
334	0.4147711077
335	0.4147567419
336	0.4147171607
337	0.4146640732
338	0.4146308482
339	0.4145577424
340	0.4145262495
341	0.4144642057
342	0.4144230666
343	0.4143958331
344	0.4143699082
345	0.4143250268
346	0.4142608224
347	0.4142445333
348	0.4141892669
349	0.4141386624
350	0.4141031841
351	0.4140543854
352	0.413986081
353	0.4139663788
354	0.4139394262
355	0.4138752685
356	0.4138409923
357	0.413789379
358	0.4137358371
359	0.4136970247
360	0.4136628116
361	0.4136110866
362	0.4135603197
363	0.413523744
364	0.4134721448
365	0.4133846572
366	0.4133305952
367	0.4132638232
368	0.4132070969
369	0.4131658657
370	0.4131060162
371	0.4130283806
372	0.4129671401
373	0.4129512595
374	0.412914396
375	0.4128547071
376	0.4128331699
377	0.4127924432
378	0.4127517863
379	0.412718005
380	0.4126837236
381	0.4126439916
382	0.4126050475
383	0.4125605844
384	0.412488745
385	0.4124687624
386	0.4124243742
387	0.4123614804
388	0.4122975934
389	0.4122694675
390	0.4121940811
391	0.4121603999
392	0.4121026989
393	0.4120592292
394	0.4120390647
395	0.4120078089
396	0.4119838406
397	0.4119307232
398	0.411885315
399	0.411818219
400	0.4117621796
401	0.4117382065
402	0.4116868545
403	0.4116752531
404	0.4116516757
405	0.4116324359
406	0.4115724615
407	0.4115565748
408	0.4115037632
409	0.4114733484
410	0.411464232
411	0.4114246389
412	0.411372754
413	0.4113212363
414	0.4113069679
415	0.4112570691
416	0.4111965083
417	0.4111795272
418	0.4111545345
419	0.4111137932
420	0.4110728321
421	0.4110131177
422	0.4109625449
423	0.4108926172
424	0.4108584391
425	0.4108195162
426	0.4107853785
427	0.410739653
428	0.4106745956
429	0.4106140711
430	0.4105777994
431	0.410530836
432	0.410482377
433	0.4104331051
434	0.4103565354
435	0.4103197304
436	0.410269974
437	0.4102164333
438	0.410166673
439	0.4101511868
440	0.4101045323
441	0.4100487539
442	0.4099877932
443	0.4099724903
444	0.4099270818
445	0.4098931414
446	0.4098427494
447	0.4098188674
448	0.4097628267
449	0.4097361834
450	0.4096997586
451	0.4096464889
452	0.4096267753
453	0.4095919578
454	0.4095330598
455	0.4095046515
456	0.4094702897
457	0.4094474894
458	0.4093948799
459	0.4093412208
460	0.40932301
461	0.4092694509
462	0.4092049052
463	0.4091492474
464	0.4091304359
465	0.4091164305
466	0.4090920538
467	0.4090699518
468	0.4090236413
469	0.4090116638
470	0.4089742326
471	0.4089154517
472	0.4088954602
473	0.4088475113
474	0.4087895723
475	0.4087541695
476	0.4087056833
477	0.4086236958
478	0.4086019846
479	0.4085714017
480	0.408542391
481	0.4084878656
482	0.4084415589
483	0.4083797021
484	0.4083744623
485	0.4083227794
486	0.4082557142
487	0.4082118515
488	0.4081506775
489	0.40811166
490	0.4080592757
491	0.4080086909
492	0.407972569
493	0.4079689717
494	0.407935911
495	0.4078832434
496	0.4078438201
497	0.4077977155
498	0.4077765045
499	0.4077583132
500	0.4077184763
501	0.4076621611
502	0.4076417897
503	0.4076357673
504	0.4075918384
505	0.4075709056
506	0.4075251738
507	0.4074974926
508	0.4074646842
509	0.4074258128
510	0.4073963434
511	0.4073349678
512	0.4072940166
513	0.4072594182
514	0.4072129207
515	0.4071714389
516	0.40712818
517	0.4070883475
518	0.407064105
519	0.4070163575
520	0.4069823212
521	0.4069331016
522	0.4068708332
523	0.406862418
524	0.4068022248
525	0.4067652399
526	0.4067116527
527	0.4066909627
528	0.4066289672
529	0.4065995658
530	0.4065678624
531	0.4065033211
532	0.4064487291
533	0.4064310878
534	0.4063788218
535	0.4063316085
536	0.4062859545
537	0.406240442
538	0.406168632
539	0.4061218202
540	0.4060800553
541	0.406034724
542	0.4060118504
543	0.4059920367
544	0.4059484657
545	0.405891933
546	0.4058758785
547	0.4058379584
548	0.405778655
549	0.4057373929
550	0.405690475
551	0.4056775353
552	0.4056625265
553	0.4056420311
554	0.4056008366
555	0.4055725465
556	0.4055236918
557	0.405468201
558	0.4054278476
559	0.4054011704
560	0.4053773888
561	0.4053517456
562	0.40529574
563	0.405284824
564	0.405253207
565	0.4051863507
566	0.4051354242
567	0.4050941783
568	0.4050478624
569	0.4049955787
570	0.4049600473
571	0.4048913823
572	0.4048457523
573	0.404782176
574	0.4047501479
575	0.4047021024
576	0.4046888802
577	0.4046116037
578	0.4045747698
579	0.4045295148
580	0.4044563095
581	0.4044084764
582	0.4043901928
583	0.4043365507
584	0.4043082059
585	0.4042908234
586	0.4042534499
587	0.4042042361
588	0.4041401351
589	0.4041044105
590	0.4040732351
591	0.4040417434
592	0.4039814946
593	0.4039640076
594	0.4039212385
595	0.4038515478
596	0.4037775397
597	0.4037148217
598	0.4036680398
599	0.4036397311
600	0.4035993502
601	0.4035504169
602	0.4035101472
603	0.4034782578
604	0.4034356994
605	0.4033961961
606	0.4033844701
607	0.4033483843
608	0.4033151082
609	0.4032569929
610	0.4032495185
611	0.4032032808
612	0.4031738242
613	0.4031313191
614	0.4030825122
615	0.4030696826
616	0.4030415231
617	0.4029942597
618	0.4029370114
619	0.4029109538
620	0.4028759826
621	0.4028398617
622	0.4028110214
623	0.4027667095
624	0.4027292298
625	0.4026957906
626	0.4026578104
627	0.4025995989
628	0.4025416515
629	0.4024888066
630	0.4024681508
631	0.4024473212
632	0.40239791
633	0.4023695747
634	0.4023082104
635	0.4022629886
636	0.4022139129
637	0.4021932459
638	0.4021717029
639	0.4021522898
640	0.4020996666
641	0.4020830116
642	0.4020574773
643	0.4020224681
644	0.4019589509
645	0.4019074654
646	0.4018550469
647	0.4018404089
648	0.4018008257
649	0.4017869519
650	0.4017083326
651	0.4016654179
652	0.4016566915
653	0.4016104634
654	0.4015786548
655	0.401560726
656	0.4015221466
657	0.4014963785
658	0.4014663471
659	0.4014384806
660	0.4013949756
661	0.4013434986
662	0.4012875381
663	0.4012412667
664	0.4012119331
665	0.4011810927
666	0.4011231319
667	0.4011144821
668	0.4010626636
669	0.4010510283
670	0.4010072572
671	0.4009649867
672	0.4009452091
673	0.4008958734
674	0.4008670942
675	0.400846624
676	0.4007963566
677	0.4007472355
678	0.4006991308
679	0.4006582652
680	0.4006122741
681	0.400567241
682	0.4005182275
683	0.4004623168
684	0.4004081035
685	0.4003815184
686	0.400328296
687	0.4003141474
688	0.4003104255
689	0.4002760664
690	0.4002289596
691	0.4001931425
692	0.4001367502
693	0.4001170565
694	0.4000975585
695	0.4000652811
696	0.4000110835
697	0.3999872642
698	0.3999556118
699	0.3998811293
700	0.3998282466
701	0.3998007908
702	0.3997603779
703	0.3997457625
704	0.3997042527
705	0.3996474405
706	0.3995855348
707	0.3995671612
708	0.3995218792
709	0.3994985685
710	0.3994892602
711	0.3994449346
712	0.399395037
713	0.3993777639
714	0.3993367717
715	0.3993000958
716	0.3992765178
717	0.3992418268
718	0.399199443
719	0.3991638605
720	0.3991353247
721	0.3991245272
722	0.3990803011
723	0.3990251493
724	0.3989713011
725	0.3988962201
726	0.3988535068
727	0.3988092807
728	0.3987523801
729	0.3987280438
730	0.3986893904
731	0.398679055
732	0.3986321699
733	0.3985618504
734	0.398526855
735	0.3984851142
736	0.3984721199
737	0.3984213225
738	0.3983725638
739	0.3983344541
740	0.398283511
741	0.3982343977
742	0.3981946696
743	0.3981610435
744	0.3981237498
745	0.3980650364
746	0.3980235894
747	0.3979865833
748	0.3979328045
749	0.3979211537
750	0.3978929456
751	0.3978506202
752	0.3978079914
753	0.3977519018
754	0.3977210166
755	0.3976626661
756	0.3976332251
757	0.3975502027
758	0.3975294776
759	0.3974999035
760	0.3974390664
761	0.3974012388
762	0.3973375449
763	0.3973162918
764	0.3972824754
765	0.3972565175
766	0.3972227875
767	0.3971964625
768	0.3971713031
769	0.39714804
770	0.3971158643
771	0.397086143
772	0.3970410386
773	0.3970104014
774	0.3969777105
775	0.396950695
776	0.3969049303
777	0.39686468
778	0.396832008
779	0.3967979012
780	0.3967856927
781	0.3967307684
782	0.3967017927
783	0.3966758171
784	0.3966304163
785	0.3966251925
786	0.3965739067
787	0.3965481646
788	0.3965365463
789	0.3964853294
790	0.3964643542
791	0.3964095356
792	0.3963657726
793	0.396333704
794	0.3962977024
795	0.3962629918
796	0.3961944414
797	0.396146128
798	0.396098928
799	0.3960706816
800	0.3960375335
801	0.3960111131
802	0.3959618096
803	0.3959116108
804	0.3958738169
805	0.3958268478
806	0.3957676864
807	0.3957179393
808	0.3956758933
809	0.3956256563
810	0.3955724929
811	0.3955429638
812	0.3955284749
813	0.3955214423
814	0.395481989
815	0.3954326135
816	0.3953942612
817	0.3953430593
818	0.3952887603
819	0.395280848
820	0.395252715
821	0.3952072147
822	0.3951889451
823	0.3951277331
824	0.3950728293
825	0.3950344404
826	0.3950209199
827	0.3950111949
828	0.3949761086
829	0.3949683606
830	0.3949068203
831	0.3948669862
832	0.3948522167
833	0.3948406085
834	0.3948060765
835	0.3947658959
836	0.3947106898
837	0.3946870972
838	0.3946556953
839	0.3946365833
840	0.3946055782
841	0.3945435192
842	0.3945307728
843	0.3945247168
844	0.3944859167
845	0.3944387721
846	0.3944016706
847	0.3943741307
848	0.3943645822
849	0.3943375294
850	0.3943093607
851	0.3942483514
852	0.394205748
853	0.3941990066
854	0.3941841245
855	0.3941601244
856	0.3941040282
857	0.3940898875
858	0.3940785677
859	0.3940449002
860	0.3940107815
861	0.3939960469
862	0.3939493029
863	0.3938940091
864	0.3938673535
865	0.3938149527
866	0.3937896181
867	0.3937614242
868	0.3937225269
869	0.3936869039
870	0.3936301715
871	0.3935756999
872	0.3935425962
873	0.3935206127
874	0.3934634188
875	0.3934153373
876	0.393398357
877	0.3933328948
878	0.3932891945
879	0.3932525097
880	0.3932141554
881	0.3931994858
882	0.3931622794
883	0.3931273584
884	0.3930833206
885	0.3930252091
886	0.3929903678
887	0.392931511
888	0.3929167312
889	0.3928757953
890	0.3928715581
891	0.3928306648
892	0.3928043462
893	0.39275825
894	0.3927386053
895	0.3926928618
896	0.392670076
897	0.3926301561
898	0.3926218175
899	0.3925595264
900	0.392549003
901	0.3925265281
902	0.392492426
903	0.3924538796
904	0.3924244621
905	0.3924097718
906	0.3923860157
907	0.3923351278
908	0.39231649
909	0.3922679119
910	0.3922438603
911	0.3922376458
912	0.3922015036
913	0.3921593367
914	0.3921030849
915	0.3920817219
916	0.392042464
917	0.3920109065
918	0.3919899196
919	0.3919701609
920	0.3919273349
921	0.3918821097
922	0.3918573777
923	0.391788992
924	0.391785689
925	0.3917328691
926	0.3917200954
927	0.3916615499
928	0.3916368386
929	0.3915705901
930	0.3915247805
931	0.3914866335
932	0.3914522701
933	0.3914244014
934	0.3913945156
935	0.3913519487
936	0.3913054234
937	0.3912730426
938	0.3912433
939	0.3912044916
940	0.3911640463
941	0.3911044632
942	0.3910682967
943	0.3910296014
944	0.3910018682
945	0.3909911148
946	0.3909618601
947	0.3909053865
948	0.3908937638
949	0.3908361047
950	0.3908099865
951	0.3907747948
952	0.3907289186
953	0.3906866544
954	0.3906723723
955	0.3906301586
956	0.3905860783
957	0.3905541049
958	0.3905376951
959	0.3905065053
960	0.3904727075
961	0.3904437438
962	0.390393497
963	0.3903439814
964	0.3903195991
965	0.3903182034
966	0.3902881415
967	0.3902693883
968	0.3902200718
969	0.3901689628
970	0.3901121145
971	0.3901026311
972	0.3900954437
973	0.3900689795
974	0.3900335929
975	0.3900217527
976	0.3900033874
977	0.3899732538
978	0.3899441652
979	0.3899070236
980	0.3898797053
981	0.3898431551
982	0.3898041978
983	0.3897637831
984	0.3897158578
985	0.3896995926
986	0.3896679066
987	0.3896226282
988	0.3895936742
989	0.3895782431
990	0.3895380693
991	0.3894900193
992	0.3894528367
993	0.3894315122
994	0.3894242055
995	0.3893870103
996	0.3893430515
997	0.3893010454
998	0.3892282468
999	0.3891878109
